state_accident_id, vehicle_number, age, sex, person_type, injury_severity
14312984, 1, 24.0, 1.0, DRIVER, U - UNKNOWN
14319929, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14319929, 2, 27.0, 1.0, DRIVER, U - UNKNOWN
14305754, 1, 21.0, 1.0, DRIVER, U - UNKNOWN
14305754, 2, 58.0, 1.0, DRIVER, U - UNKNOWN
14335031, 1, 61.0, 1.0, DRIVER, U - UNKNOWN
14305790, 1, 22.0, 2.0, DRIVER, U - UNKNOWN
14319942, 1, 76.0, 2.0, DRIVER, U - UNKNOWN
14319942, 2, 28.0, 2.0, DRIVER, U - UNKNOWN
14328057, 1, 33.0, 1.0, DRIVER, U - UNKNOWN
14328057, 2, 31.0, 1.0, DRIVER, U - UNKNOWN
14302403, 1, 45.0, 2.0, DRIVER, U - UNKNOWN
14341005, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14341005, 2, 53.0, 1.0, DRIVER, U - UNKNOWN
14341014, 1, 57.0, 2.0, DRIVER, U - UNKNOWN
14297044, 2, 65.0, 1.0, DRIVER, U - UNKNOWN
14297044, 1, 57.0, 1.0, DRIVER, U - UNKNOWN
14328309, 1, 37.0, 1.0, DRIVER, U - UNKNOWN
14305935, 2, 48.0, 2.0, DRIVER, U - UNKNOWN
14305935, 1, 30.0, 1.0, DRIVER, U - UNKNOWN
14328334, 1, 46.0, 1.0, DRIVER, U - UNKNOWN
14297051, 1, 43.0, 1.0, DRIVER, U - UNKNOWN
14297053, 1, 39.0, 2.0, DRIVER, U - UNKNOWN
14297053, 2, 43.0, 2.0, DRIVER, U - UNKNOWN
14328372, 1, 20.0, 1.0, DRIVER, U - UNKNOWN
14310546, 1, nan, 3.0, DRIVER, U - UNKNOWN
14302563, 1, 21.0, 1.0, DRIVER, U - UNKNOWN
14316585, 1, 49.0, 1.0, DRIVER, U - UNKNOWN
14297118, 2, 60.0, 2.0, DRIVER, U - UNKNOWN
14297118, 1, 38.0, 1.0, DRIVER, U - UNKNOWN
14323891, 1, 65.0, 1.0, DRIVER, U - UNKNOWN
14306020, 1, 40.0, 1.0, DRIVER, U - UNKNOWN
14320061, 1, 40.0, 2.0, DRIVER, U - UNKNOWN
14335193, 1, 62.0, 1.0, DRIVER, U - UNKNOWN
14297230, 1, 22.0, 2.0, DRIVER, U - UNKNOWN
14328449, 2, 18.0, 1.0, DRIVER, U - UNKNOWN
14328449, 1, 36.0, 2.0, DRIVER, U - UNKNOWN
14297250, 1, 42.0, 1.0, DRIVER, U - UNKNOWN
14320091, 2, 62.0, 2.0, DRIVER, U - UNKNOWN
14320091, 1, 90.0, 1.0, DRIVER, U - UNKNOWN
14320096, 1, 42.0, 1.0, DRIVER, U - UNKNOWN
14341224, 1, 30.0, 1.0, DRIVER, U - UNKNOWN
14311093, 1, 60.0, 2.0, DRIVER, U - UNKNOWN
14337687, 1, 41.0, 2.0, DRIVER, U - UNKNOWN
14331561, 1, 81.0, 1.0, DRIVER, U - UNKNOWN
14331561, 2, 37.0, 1.0, DRIVER, U - UNKNOWN
14335244, 1, 58.0, 1.0, DRIVER, U - UNKNOWN
14313219, 1, 43.0, 2.0, DRIVER, U - UNKNOWN
14313219, 2, 58.0, 2.0, DRIVER, U - UNKNOWN
14313222, 2, 29.0, 1.0, DRIVER, U - UNKNOWN
14313222, 1, 31.0, 2.0, DRIVER, U - UNKNOWN
14337690, 1, 32.0, 1.0, DRIVER, U - UNKNOWN
14335247, 1, 54.0, 1.0, DRIVER, U - UNKNOWN
14297355, 1, 21.0, 1.0, DRIVER, U - UNKNOWN
14331571, 1, 49.0, 1.0, DRIVER, U - UNKNOWN
14331571, 2, 73.0, 2.0, DRIVER, U - UNKNOWN
14311147, 1, 22.0, 1.0, DRIVER, U - UNKNOWN
14311147, 2, nan, 3.0, DRIVER, U - UNKNOWN
14306282, 4, 24.0, 1.0, DRIVER, U - UNKNOWN
14306282, 3, 57.0, 1.0, DRIVER, U - UNKNOWN
14306282, 1, 21.0, 2.0, DRIVER, U - UNKNOWN
14306282, 2, 53.0, 1.0, DRIVER, U - UNKNOWN
14323989, 1, 39.0, 1.0, DRIVER, U - UNKNOWN
14331581, 1, 35.0, 1.0, DRIVER, U - UNKNOWN
14335285, 1, 28.0, 1.0, DRIVER, U - UNKNOWN
14335285, 2, 68.0, 1.0, DRIVER, U - UNKNOWN
14303091, 1, 20.0, 1.0, DRIVER, U - UNKNOWN
14303091, 2, 63.0, 2.0, DRIVER, U - UNKNOWN
14341312, 1, 57.0, 1.0, DRIVER, U - UNKNOWN
14316747, 1, 37.0, 2.0, DRIVER, U - UNKNOWN
