state_accident_id,vehicle_number,body_type
13046948,1,PICK-UP TRUCK
13046999,1,SUBURBAN
13047079,1,SUBURBAN
13047082,1,SUBURBAN
13047082,2,4 DOOR SEDAN
13047102,1,SUBURBAN
13047157,1,TOW TRUCK
13047157,2,4 DOOR SEDAN
13047177,1,PICK-UP TRUCK
13047177,2,2 DOOR SEDAN
13047330,1,2 DOOR SEDAN
13047439,1,4 DOOR SEDAN
13047439,2,CONVERTIBLE
13047441,1,4 DOOR SEDAN
13047441,2,4 DOOR SEDAN
13047441,3,4 DOOR SEDAN
13047496,2,4 DOOR SEDAN
13047496,1,SUBURBAN
13047985,1,4 DOOR SEDAN
13047985,2,UNKNOWN VEHICLE
13048108,1,SUBURBAN
13048108,2,SUBURBAN
13048507,1,UNKNOWN VEHICLE
13049071,1,SUBURBAN
13049071,2,4 DOOR SEDAN
13049071,3,SUBURBAN
13050094,2,UNKNOWN VEHICLE
13050094,1,4 DOOR SEDAN
13050754,1,SUBURBAN
13050754,2,STAKE TRUCK
13050758,1,SUBURBAN
13050775,1,4 DOOR SEDAN
13050775,2,4 DOOR SEDAN
13050919,1,4 DOOR SEDAN
13050919,2,4 DOOR SEDAN
13051031,2,4 DOOR SEDAN
13051031,1,4 DOOR SEDAN
13051039,2,4 DOOR SEDAN
13051039,1,SUBURBAN
13051255,1,4 DOOR SEDAN
13051735,1,4 DOOR SEDAN
13051736,1,PICK-UP TRUCK
13051737,1,SUBURBAN
13051738,1,TANK TRUCK
13051738,2,4 DOOR SEDAN
13051743,1,4 DOOR SEDAN
13051744,1,4 DOOR SEDAN
13051744,2,FLAT BED TRUCK
13052014,1,SUBURBAN
13052016,1,4 DOOR SEDAN
13052016,2,4 DOOR SEDAN
13052022,1,4 DOOR SEDAN
13052022,2,4 DOOR SEDAN
13052111,1,SUBURBAN
13052120,2,TRACTOR
13052120,1,4 DOOR SEDAN
13052142,1,4 DOOR SEDAN
13052168,2,SUBURBAN
13052168,1,4 DOOR SEDAN
13052169,3,PICK-UP TRUCK
13052169,2,4 DOOR SEDAN
13052169,1,4 DOOR SEDAN
13052173,2,DUMP TRUCK
13052173,1,SUBURBAN
13052181,1,4 DOOR SEDAN
13052210,1,SUBURBAN
13052215,1,SUBURBAN
13052218,1,4 DOOR SEDAN
13052265,1,PICK-UP TRUCK
13052265,2,2 DOOR SEDAN
13052285,2,4 DOOR SEDAN
