state_accident_id,vehicle_number,age,sex,person_type,injury_severity
17151162,2,25.0,1.0,DRIVER,U - UNKNOWN
17151162,3,29.0,1.0,DRIVER,U - UNKNOWN
17151162,4,28.0,1.0,DRIVER,U - UNKNOWN
17151177,1,56.0,1.0,DRIVER,U - UNKNOWN
17151178,1,nan,3.0,DRIVER,U - UNKNOWN
17151198,2,35.0,1.0,DRIVER,U - UNKNOWN
17151198,1,54.0,1.0,DRIVER,U - UNKNOWN
17151201,2,nan,3.0,DRIVER,U - UNKNOWN
17151201,1,51.0,1.0,DRIVER,U - UNKNOWN
17151224,1,40.0,2.0,DRIVER,U - UNKNOWN
17151236,3,46.0,1.0,DRIVER,U - UNKNOWN
17151236,1,29.0,2.0,DRIVER,U - UNKNOWN
17151236,2,62.0,1.0,DRIVER,U - UNKNOWN
17151364,1,42.0,1.0,DRIVER,U - UNKNOWN
17151479,1,35.0,2.0,DRIVER,U - UNKNOWN
17151668,2,24.0,1.0,DRIVER,U - UNKNOWN
17151668,1,19.0,1.0,DRIVER,U - UNKNOWN
17151716,1,53.0,2.0,DRIVER,U - UNKNOWN
17151778,1,33.0,1.0,DRIVER,U - UNKNOWN
17151778,2,52.0,2.0,DRIVER,U - UNKNOWN
17151881,2,86.0,2.0,DRIVER,U - UNKNOWN
17151881,1,55.0,2.0,DRIVER,U - UNKNOWN
17151994,1,65.0,1.0,DRIVER,U - UNKNOWN
17151996,1,42.0,1.0,DRIVER,U - UNKNOWN
17152022,1,83.0,1.0,DRIVER,U - UNKNOWN
17152102,1,53.0,1.0,DRIVER,U - UNKNOWN
17152232,1,50.0,1.0,DRIVER,U - UNKNOWN
17152232,2,41.0,1.0,DRIVER,U - UNKNOWN
17152234,1,33.0,1.0,DRIVER,U - UNKNOWN
17152234,2,59.0,1.0,DRIVER,U - UNKNOWN
17152238,2,44.0,2.0,DRIVER,U - UNKNOWN
17152238,1,23.0,2.0,DRIVER,U - UNKNOWN
17152268,2,nan,3.0,DRIVER,U - UNKNOWN
17152268,1,32.0,1.0,DRIVER,U - UNKNOWN
17152288,3,nan,3.0,DRIVER,U - UNKNOWN
17152288,2,nan,3.0,DRIVER,U - UNKNOWN
17152288,1,51.0,1.0,DRIVER,U - UNKNOWN
17152289,1,35.0,1.0,DRIVER,U - UNKNOWN
17152308,1,28.0,1.0,DRIVER,U - UNKNOWN
17152325,1,nan,3.0,DRIVER,U - UNKNOWN
17152351,1,nan,3.0,DRIVER,U - UNKNOWN
17152417,1,73.0,1.0,DRIVER,U - UNKNOWN
17152450,1,86.0,1.0,DRIVER,U - UNKNOWN
17152481,1,31.0,2.0,DRIVER,U - UNKNOWN
17152481,2,43.0,1.0,DRIVER,U - UNKNOWN
17152518,2,nan,3.0,DRIVER,U - UNKNOWN
17152518,3,nan,3.0,DRIVER,U - UNKNOWN
17152518,1,32.0,1.0,DRIVER,U - UNKNOWN
17152525,1,nan,3.0,DRIVER,U - UNKNOWN
17152826,2,20.0,1.0,DRIVER,U - UNKNOWN
17152826,1,61.0,1.0,DRIVER,U - UNKNOWN
17152835,1,20.0,1.0,DRIVER,U - UNKNOWN
17152835,2,35.0,1.0,DRIVER,U - UNKNOWN
17152843,1,88.0,2.0,DRIVER,U - UNKNOWN
17152849,1,23.0,2.0,DRIVER,U - UNKNOWN
17152849,2,39.0,1.0,DRIVER,U - UNKNOWN
17152951,1,76.0,2.0,DRIVER,U - UNKNOWN
17152962,1,46.0,1.0,DRIVER,U - UNKNOWN
17152962,3,30.0,1.0,DRIVER,U - UNKNOWN
17152962,2,37.0,2.0,DRIVER,U - UNKNOWN
17153037,1,55.0,2.0,DRIVER,U - UNKNOWN
17153037,2,29.0,2.0,DRIVER,U - UNKNOWN
17153110,1,72.0,1.0,DRIVER,U - UNKNOWN
17153110,2,25.0,2.0,DRIVER,U - UNKNOWN
17153111,2,24.0,1.0,DRIVER,U - UNKNOWN
17153111,1,21.0,2.0,DRIVER,U - UNKNOWN
17153364,3,50.0,1.0,DRIVER,U - UNKNOWN
17153364,1,19.0,2.0,DRIVER,U - UNKNOWN
17153364,2,73.0,2.0,DRIVER,U - UNKNOWN
17153479,1,58.0,1.0,DRIVER,U - UNKNOWN
17153589,2,42.0,2.0,DRIVER,U - UNKNOWN
17153589,1,50.0,2.0,DRIVER,U - UNKNOWN
17153606,2,32.0,2.0,DRIVER,U - UNKNOWN
17153606,1,20.0,2.0,DRIVER,U - UNKNOWN
17153611,1,58.0,2.0,DRIVER,U - UNKNOWN
17153627,1,75.0,1.0,DRIVER,U - UNKNOWN
17154101,1,nan,3.0,DRIVER,U - UNKNOWN
17154159,1,29.0,1.0,DRIVER,U - UNKNOWN
17154159,2,nan,3.0,DRIVER,U - UNKNOWN
17154162,1,66.0,1.0,DRIVER,U - UNKNOWN
17154163,2,37.0,1.0,DRIVER,U - UNKNOWN
17154163,1,33.0,1.0,DRIVER,U - UNKNOWN
17154242,2,34.0,1.0,DRIVER,U - UNKNOWN
17154242,1,70.0,2.0,DRIVER,U - UNKNOWN
17154344,1,28.0,1.0,DRIVER,U - UNKNOWN
17154408,2,38.0,1.0,DRIVER,U - UNKNOWN
17154408,1,42.0,1.0,DRIVER,U - UNKNOWN
17154416,1,37.0,2.0,DRIVER,U - UNKNOWN
17154468,1,44.0,1.0,DRIVER,U - UNKNOWN
