state_accident_id, vehicle_number, body_type
13897566, 1, VAN TRUCK
13893976, 1, TRACTOR
13893976, 2, 2 DOOR SEDAN
13903706, 1, SUBURBAN
13920612, 1, 4 DOOR SEDAN
13893983, 1, UNKNOWN VEHICLE
13908024, 1, SUBURBAN
13908024, 2, 4 DOOR SEDAN
13917522, 1, 4 DOOR SEDAN
13897762, 1, 4 DOOR SEDAN
13910921, 1, SUBURBAN
13903732, 1, SUBURBAN
13903732, 2, 4 DOOR SEDAN
13903732, 3, SUBURBAN
13914493, 1, PICK-UP TRUCK
13914493, 2, 4 DOOR SEDAN
13920627, 1, 4 DOOR SEDAN
13920627, 2, 2 DOOR SEDAN
13917544, 1, SUBURBAN
13903754, 1, SUBURBAN
13897787, 1, SUBURBAN
13901064, 1, TRACTOR
13901064, 2, PICK-UP TRUCK
13914518, 1, PICK-UP TRUCK
13914518, 2, 4 DOOR SEDAN
13926550, 1, SUBURBAN
13894038, 1, UNKNOWN CAR
13923479, 1, VAN TRUCK
13923479, 2, PICK-UP TRUCK
13920671, 1, 4 DOOR SEDAN
13914545, 1, MOTORCYCLE
13894236, 1, SUBURBAN
13894236, 2, 4 DOOR SEDAN
13903791, 1, SUBURBAN
13910982, 1, SUBURBAN
13901104, 1, 4 DOOR SEDAN
13901104, 2, SUBURBAN
13897867, 1, SUBURBAN
13897867, 2, 4 DOOR SEDAN
13890320, 2, PICK-UP TRUCK
13890320, 1, 4 DOOR SEDAN
13894278, 1, 4 DOOR SEDAN
13894278, 2, SUBURBAN
13920707, 1, 4 DOOR SEDAN
13901130, 1, 2 DOOR SEDAN
13901130, 2, PICK-UP TRUCK
13910994, 1, 4 DOOR SEDAN
13910994, 2, 4 DOOR SEDAN
13890353, 3, SUBURBAN
13890353, 2, 4 DOOR SEDAN
13890353, 1, PICK-UP TRUCK
13908103, 1, BUS (OMNIBUS)
13908103, 2, TRACTOR
13908103, 3, SUBURBAN
13908103, 4, 4 DOOR SEDAN
13901165, 1, TRACTOR
13901165, 2, PICK-UP TRUCK
13903850, 1, 4 DOOR SEDAN
13911026, 1, SUBURBAN
13926633, 1, 4 DOOR SEDAN
13926633, 2, 4 DOOR SEDAN
13914639, 1, 4 DOOR SEDAN
13914639, 2, 4 DOOR SEDAN
13914640, 1, SUBURBAN
13914640, 2, BUS (OMNIBUS)
13923577, 1, 4 DOOR SEDAN
13901182, 1, 4 DOOR SEDAN
13901195, 1, SUBURBAN
13901201, 1, 4 DOOR SEDAN
13911044, 1, 4 DOOR SEDAN
13911044, 2, SUBURBAN
13901437, 1, SUBURBAN
13917676, 1, 4 DOOR SEDAN
13917678, 1, SUBURBAN
13917680, 1, SUBURBAN
13890428, 1, 4 DOOR SEDAN
