,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
203543,2013054127,1,4.0,1.0,1,1994.0,TOYT,0,P4D,1.0
203732,2013076077,1,15.0,1.0,1,2009.0,SUBA,0,PUT,1.0
203733,2013076077,2,29.0,2.0,1,2006.0,OTHR,0,,1.0
203735,2013102896,1,15.0,6.0,1,2011.0,ACUR,0,PUT,1.0
203736,2013102896,2,20.0,2.0,1,2003.0,HD,0,MRS,1.0
204004,2013043242,1,15.0,1.0,1,2005.0,CHEV,0,PUT,1.0
204021,2013073372,1,29.0,2.0,1,1979.0,KAWK,0,,1.0
204022,2013073372,2,4.0,1.0,1,1998.0,OLDS,0,P4D,1.0
204128,2013064221,1,1.0,1.0,1,2005.0,MITS,0,PCV,1.0
204129,2013064221,2,4.0,1.0,2,2007.0,FORD,1,P4D,2.0
204134,2013125983,1,4.0,1.0,1,2003.0,CHEV,0,P4D,1.0
204135,2013125983,2,,31.0,30,,,0,,
204152,2013113828,1,15.0,6.0,1,2008.0,OTHR,0,T4W,1.0
204153,2013113828,2,,31.0,30,,,0,,
204250,2013014082,1,15.0,6.0,1,2006.0,CHRY,0,PUT,1.0
204251,2013014082,2,4.0,1.0,1,2004.0,CHRY,0,P4D,1.0
204280,2013075977,1,75.0,5.0,1,2013.0,FRHT,0,TTR,1.0
204297,2013021648,1,10.0,6.0,1,2003.0,CHEV,0,PPK,1.0
204427,2014013304,1,4.0,1.0,1,2005.0,HYUN,0,P4D,1.0
204520,2013071688,1,4.0,1.0,1,2001.0,FORD,0,P4D,3.0
204527,2013112627,1,4.0,1.0,1,2004.0,FORD,0,P4D,1.0
204528,2013112627,2,15.0,6.0,1,1998.0,FORD,0,PUT,1.0
204691,2013030611,1,4.0,1.0,1,1986.0,BUIC,0,P4D,1.0
204692,2013030611,2,15.0,1.0,1,2012.0,NISS,0,PUT,1.0
204814,2013057986,1,5.0,1.0,1,2002.0,MAZD,0,P4H,1.0
204848,2013117818,1,15.0,6.0,1,2006.0,CHEV,0,PUT,1.0
204891,2013093145,1,51.0,4.0,1,2002.0,FORD,0,TCW,1.0
204892,2013093145,2,,31.0,30,,,0,,
204912,2013133733,1,4.0,1.0,1,2004.0,NISS,0,P4D,1.0
204913,2013133733,2,,31.0,30,,,0,,
204950,2013047581,1,28.0,2.0,1,2012.0,KAWK,0,MRC,1.0
204951,2013047581,2,15.0,6.0,1,2008.0,OTHR,0,T4W,1.0
204991,2013045812,1,4.0,1.0,1,2010.0,FORD,0,P4D,1.0
204992,2013045812,2,12.0,7.0,1,2012.0,HOND,0,PSV,1.0
205104,2013120798,1,12.0,1.0,1,2003.0,CHRY,0,PSV,1.0
205105,2013120798,2,20.0,2.0,1,2001.0,HD,0,MRS,1.0
205127,2013047460,1,20.0,2.0,1,2010.0,HOND,0,MRS,1.0
205128,2013047460,2,51.0,4.0,1,2011.0,CHEV,0,TCW,1.0
205178,2013067808,1,51.0,4.0,1,1999.0,DODG,0,TPK,1.0
205179,2013067808,2,51.0,4.0,1,2012.0,GMC,0,T4C,1.0
205184,2013099075,1,2.0,1.0,1,2002.0,CHEV,0,PCP,1.0
205185,2013099075,2,4.0,1.0,1,2004.0,BUIC,0,P4D,1.0
205188,2013068077,1,51.0,4.0,1,1999.0,DODG,0,TPC,1.0
205392,2013040017,1,15.0,6.0,1,2001.0,CHEV,0,PUT,1.0
205426,2013079058,1,28.0,2.0,1,2000.0,SUZI,0,MRC,1.0
205435,2013129827,1,41.0,7.0,1,2007.0,DODG,0,TES,1.0
205446,2013046426,1,15.0,6.0,1,2002.0,HOND,0,PUT,1.0
205447,2013046426,2,,31.0,30,,,0,,
205462,2013056286,1,24.0,13.0,1,,HOND,0,MAT,1.0
205463,2013056286,2,51.0,4.0,1,1992.0,CHEV,0,TPK,1.0
205497,2013067886,1,4.0,1.0,1,2013.0,TOYT,0,P4D,1.0
205598,2013072022,1,20.0,2.0,1,2003.0,HD,0,MRS,1.0
205647,2013093527,1,4.0,1.0,1,2002.0,HOND,0,P4D,1.0
205648,2013093527,2,4.0,1.0,1,2007.0,HYUN,0,P4D,1.0
205652,2013115812,1,51.0,4.0,1,2009.0,FORD,0,TCW,1.0
205653,2013115812,2,,31.0,30,,,0,,
205654,2013113731,1,2.0,1.0,1,1997.0,PONT,0,PCP,1.0
205676,2013041743,1,4.0,1.0,1,2012.0,HYUN,0,P4D,1.0
205707,2013019833,1,2.0,1.0,1,2007.0,PONT,0,PCP,1.0
205708,2013019833,2,15.0,6.0,1,2006.0,SUBA,0,PUT,1.0
205734,2013013058,1,4.0,1.0,1,2012.0,FORD,0,P4D,1.0
205836,2013076777,1,15.0,1.0,1,1998.0,SUBA,0,PUT,1.0
205850,2013120498,1,4.0,1.0,1,2000.0,CHEV,0,P4D,1.0
205863,2013125381,1,4.0,1.0,1,1999.0,CHRY,0,P4D,1.0
205965,2014003392,1,51.0,4.0,1,2006.0,DODG,0,TCW,1.0
205966,2014003392,2,75.0,5.0,1,2008.0,VOLV,0,TTR,1.0
205981,2013100253,1,15.0,6.0,1,2008.0,FORD,0,PUT,1.0
205982,2013100253,2,4.0,1.0,1,1998.0,PONT,0,P4D,1.0
206026,2013117204,1,69.0,4.0,1,2008.0,FORD,0,TYY,1.0
206027,2013117204,2,49.0,7.0,1,2003.0,FORD,0,,1.0
206053,2013044691,1,2.0,1.0,1,1998.0,CHEV,0,PCP,1.0
206065,2013089816,1,4.0,1.0,1,1998.0,TOYT,0,P4D,1.0
206066,2013089816,2,15.0,6.0,1,2008.0,JEEP,0,T4W,1.0
206100,2013004322,1,4.0,1.0,1,2012.0,TOYT,0,P4D,1.0
206101,2013004322,2,,31.0,30,,,0,,
206111,2013084460,1,20.0,2.0,1,2007.0,YAMA,0,MRS,1.0
206112,2013084460,2,4.0,1.0,1,2012.0,MAZD,0,P4D,1.0
206196,2013049870,1,4.0,1.0,1,2012.0,HYUN,0,P4D,1.0
206197,2013049870,2,15.0,1.0,1,2009.0,TOYT,0,PUT,1.0
206198,2013047693,1,5.0,1.0,1,2008.0,VOLK,0,P4H,1.0
206199,2013047693,2,75.0,5.0,1,2007.0,FRHT,0,TTR,1.0
206260,2013060269,1,15.0,6.0,1,1999.0,HOND,0,PUT,1.0
206266,2013013156,1,4.0,1.0,1,2009.0,HYUN,0,P4D,1.0
206267,2013013156,2,5.0,1.0,1,1991.0,PLYM,0,P4H,1.0
206305,2013075414,1,4.0,1.0,1,2007.0,CHEV,0,P4D,1.0
206306,2013075414,2,20.0,2.0,1,2011.0,HD,0,MRS,1.0
206307,2013075414,3,15.0,6.0,1,2008.0,LEXS,0,PUT,1.0
