,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
41799,2020028575,40.125889,-74.852556,9,9101,3,1,,,1,0,4
41802,2020071367,40.710531,-80.279206,4,4105,8,6,,,0,1,7
41809,2020066863,40.696604,-80.386303,4,4201,8,3,,,1,0,8
41817,2020032251,39.956769,-75.211376,67,67301,4,6,,,1,0,1
41822,2020068941,39.844646,-77.266614,1,1204,8,1,,,2,0,6
41841,2020042672,40.647335,-79.08706,32,32209,5,2,,,1,0,0
41843,2020065633,40.162318,-80.194984,62,62227,6,6,,,0,1,7
41872,2020034680,,,15,15236,4,7,,,1,0,5
41882,2020043737,39.859935,-75.456865,23,23110,5,1,,,1,0,2
41904,2020041812,40.411806,-79.896811,2,2448,5,5,,,1,0,2
41906,2020031171,40.408972,-78.451611,7,7201,3,2,,,1,0,7
41913,2020036002,40.530828,-75.398318,39,39211,4,4,,,1,0,7
41929,2020049395,40.806953,-78.896667,32,32215,6,3,,,1,0,0
41954,2020071667,40.520678,-75.970038,6,6230,8,2,,,1,0,2
41959,2020069417,40.544841,-79.838469,2,2208,8,3,,,1,1,7
41991,2020033667,39.849441,-75.448205,23,23110,4,7,,,1,0,7
