,CRN,STREET_NAME
177316,2019057747,COLLEGE AV
177317,2019057747,PENN ST
177332,2019077719,BRANCH RD
177333,2019077719,SANDPIPER RD
177348,2019127774,WILLIAM FLINN HW
177417,2019071673,BIGELOW BL
177418,2019071673,HERRON AV
177419,2019071673,PAULOWNA ST
177576,2019013097,ROOSEVELT AV
177578,2019041143,SEESETOWN RD
177597,2019085799,S 18TH ST
177671,2019032596,GORE RD
177702,2019099142,ISLAND AV
177703,2019099142,ISLAND AV
177704,2019099142,SEVENTYFOURTH ST
177705,2019099142,BUIST AV
177719,2019042361,GITTS RUN RD
177727,2019022922,SELLERSVILLE BP
177765,2020001651,COTTMAN AV
177766,2020001651,TORRESDALE AV
177771,2019035983,SCHLOSSER RD
177772,2019035983,MORRIS RD
177787,2019124355,TEMPLE BL
177788,2019124355,5TH ST
177796,2019086751,WALNUT ST
177797,2019086751,RAILROAD ST
177850,2019118517,FRANKLIN ST
177851,2019118517,BERKS ST
177867,2019084599,CROLL SCHOOL RD
177885,2019052575,6TH ST
177886,2019052575,MONTGOMERY ST
177971,2019089126,EAST PROSPECT RD
177983,2019090725,FORT WASHINGTON EX
177984,2019090725,RAMP C RD
178009,2019127618,DERRY LN
178077,2019084003,RIDGE PK
178078,2019084003,SUNNYSIDE AV
178082,2019068649,2ND ST
178143,2019029643,WOODLAND RD
178152,2019116546,DRY TAVERN RD
178189,2019098059,MARKET ST
178190,2019098059,THIRD ST
178198,2019039891,MENOHER HW
178233,2019094717,SCHAEFFER RD
178234,2019094717,OBIE RD
178468,2019049811,STATE ST
178479,2019078125,MCCLEARY RD
178503,2019103269,HERMITAGE RD
178504,2019103269,HERMITAGE RD
178505,2019103269,RUTLEDGE RD
178508,2019015273,LYCOMING CREEK RD
178509,2019015273,LYCOMING CREEK RD
178510,2019015273,HIGH ST
178511,2019015273,HIGH ST
178512,2019015273,ROOSEVELT AV
178568,2019059605,MCCLELLAND RD
178569,2019123902,CITY AV
178570,2019123902,KINGS GRANT DR
178571,2019123902,CITY AV
178645,2019070335,COLONEL DRAKE HW
178679,2019033576,GALLITZIN RD
178745,2019134005,BROADWAY ST
178746,2019134005,FLICKINGER RD
178752,2019038077,SCHUYLKILL EX
178760,2020011677,LAYFIELD RD
178761,2020011677,KNIGHT RD
178762,2020011677,KUTZTOWN RD
178779,2019048495,MIDVALE RD
178864,2019035280,PINE GROVE RD
178865,2019035280,SHIPPENSBURG RD
178874,2019079705,STEVENS AV
178998,2019127552,VFW OF US MEM HW
179027,2019080983,ALICIA AV
179028,2019080983,ALICIA AV
179029,2019080983,TURNPIKE RAMP RD
179030,2019080983,FROM TURNPIKE RAMP RD
179059,2019107072,OLD TURNPIKE RD
179100,2019008148,WOODS DR
179138,2019042109,HICKERNELL RD
179167,2019045928,SHERMAN ST
