,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
7412,2022100456,83,M,1.0,2,7.0
7556,2022039430,22,F,0.0,1,1.0
7557,2022039430,26,F,1.0,2,7.0
7632,2023005839,22,M,0.0,1,1.0
7633,2023005839,31,F,2.0,2,7.0
7647,2022054864,45,M,0.0,1,1.0
7648,2022054864,10,M,0.0,1,2.0
7649,2022054864,64,F,2.0,2,7.0
7689,2022110778,45,F,2.0,1,1.0
7690,2022110778,59,F,0.0,2,1.0
7739,2022057360,27,F,0.0,1,1.0
7740,2022057360,40,M,2.0,2,1.0
7741,2022057360,6,F,2.0,2,2.0
7742,2022057360,5,M,3.0,2,2.0
7743,2022057360,55,F,8.0,3,1.0
7764,2022104754,46,M,2.0,1,1.0
7801,2022066516,56,M,2.0,1,1.0
7802,2022066516,48,F,8.0,2,1.0
7803,2022066516,47,M,3.0,2,2.0
7838,2022044358,25,M,2.0,1,1.0
7858,2022080385,26,M,2.0,1,1.0
7937,2022105286,58,M,1.0,1,1.0
7938,2022105286,25,F,4.0,2,1.0
7939,2022105286,75,F,4.0,2,2.0
7940,2022105286,5,M,3.0,2,2.0
7941,2022105286,23,M,0.0,3,1.0
7942,2022105286,55,M,3.0,3,2.0
7943,2022105286,54,M,3.0,3,2.0
7944,2022105286,74,F,1.0,3,2.0
7969,2022024264,49,M,1.0,1,1.0
7970,2022024264,45,M,8.0,2,1.0
7971,2022024264,43,F,8.0,2,2.0
8034,2022113404,29,M,2.0,1,1.0
8035,2022113404,31,M,0.0,1,2.0
8102,2022016848,56,F,0.0,1,1.0
8103,2022016848,75,M,2.0,2,7.0
8147,2022034887,31,M,2.0,1,1.0
8148,2022034887,45,M,3.0,2,1.0
8165,2022085243,48,M,2.0,1,4.0
8166,2022085243,47,M,0.0,2,1.0
8208,2022033671,66,F,0.0,1,1.0
8209,2022033671,26,F,2.0,2,1.0
8213,2022058816,35,F,0.0,1,1.0
8214,2022058816,20,M,2.0,2,1.0
8369,2022097147,45,M,2.0,1,1.0
8386,2022067000,67,F,1.0,1,1.0
8387,2022067000,67,M,2.0,2,1.0
8403,2022059803,19,F,2.0,1,7.0
8404,2022059803,58,F,0.0,2,1.0
8437,2022106468,71,M,0.0,1,1.0
8438,2022106468,23,F,2.0,2,1.0
8439,2022106468,37,M,0.0,3,1.0
8440,2022106468,17,M,0.0,4,1.0
8479,2022023311,28,M,2.0,1,1.0
8480,2022023311,37,F,2.0,1,2.0
8481,2022023311,16,F,3.0,2,1.0
8483,2022057255,51,F,0.0,1,1.0
8484,2022057255,26,M,2.0,2,1.0
8485,2022059377,57,M,2.0,1,1.0
8488,2022121250,39,M,1.0,1,1.0
8489,2022121250,28,F,1.0,1,2.0
8490,2022121250,40,M,0.0,2,1.0
8616,2022084056,65,M,1.0,1,1.0
8645,2022045170,43,M,2.0,1,1.0
8646,2022045170,39,F,0.0,2,1.0
8647,2022045170,39,M,0.0,2,2.0
8782,2022054053,46,M,0.0,1,1.0
8783,2022054053,83,F,1.0,2,7.0
8842,2022024253,35,M,2.0,1,1.0
8843,2022024253,29,M,3.0,1,2.0
8894,2022055206,20,M,9.0,1,1.0
8895,2022055206,19,F,2.0,1,2.0
8896,2022055206,20,F,9.0,1,2.0
8962,2022039344,41,M,2.0,1,1.0
8982,2022060710,16,M,0.0,1,1.0
8983,2022060710,78,F,2.0,2,1.0
9102,2022094747,99,U,9.0,1,1.0
9103,2022094747,42,M,2.0,2,7.0
9116,2022075005,85,F,0.0,1,1.0
9117,2022075005,41,F,2.0,2,1.0
9156,2022035428,23,F,2.0,1,1.0
9192,2022102019,42,M,0.0,1,1.0
9193,2022102019,11,F,2.0,2,7.0
9215,2022023061,70,F,3.0,1,1.0
9216,2022023061,34,M,2.0,2,1.0
9268,2022073897,33,F,2.0,1,1.0
9308,2022004826,29,F,2.0,1,1.0
9309,2022004826,9,M,2.0,1,2.0
9311,2022080781,28,M,2.0,1,1.0
9312,2022080781,99,M,9.0,1,2.0
9347,2022072140,27,M,2.0,1,1.0
9527,2022021739,28,F,2.0,1,1.0
9635,2022095463,35,F,2.0,1,1.0
9673,2022084610,51,M,1.0,1,1.0
9715,2022032058,19,M,2.0,1,1.0
9716,2022032058,51,F,3.0,1,2.0
9779,2022022309,80,M,2.0,1,1.0
9794,2022071569,35,M,2.0,1,1.0
9795,2022113365,73,F,1.0,1,1.0
9796,2022113365,67,M,3.0,2,1.0
9797,2022061183,29,M,2.0,1,1.0
9823,2022071032,26,M,1.0,1,7.0
9824,2022071032,61,M,0.0,2,1.0
10002,2022103297,17,M,0.0,1,2.0
10003,2022103297,16,M,3.0,1,2.0
10004,2022103297,14,F,0.0,1,2.0
10005,2022103297,15,M,0.0,1,2.0
10006,2022103297,14,M,0.0,1,2.0
10007,2022103297,17,M,0.0,1,2.0
10008,2022103297,13,F,3.0,1,2.0
10009,2022103297,16,M,2.0,1,2.0
10010,2022103297,18,F,3.0,1,2.0
10011,2022103297,14,M,0.0,1,2.0
10012,2022103297,13,F,3.0,1,2.0
10013,2022125094,49,M,2.0,1,7.0
10045,2022064136,75,F,0.0,1,1.0
10046,2022064136,64,M,1.0,2,1.0
10047,2022064136,59,F,1.0,2,2.0
10081,2022066951,34,F,3.0,1,1.0
10082,2022066951,21,F,3.0,2,1.0
10083,2022066951,48,F,2.0,2,2.0
10236,2022081235,90,F,2.0,1,1.0
10253,2022027288,27,M,2.0,1,1.0
10282,2022021474,28,M,0.0,1,1.0
10283,2022021474,58,M,0.0,2,1.0
10284,2022021474,36,M,2.0,3,7.0
10295,2022043553,61,M,1.0,1,1.0
10296,2022043553,21,M,0.0,2,1.0
10397,2022052081,18,M,0.0,1,1.0
10398,2022052081,17,F,0.0,1,2.0
10399,2022052081,26,M,2.0,2,1.0
10778,2022012857,47,M,2.0,1,1.0
10779,2022012857,40,F,0.0,1,2.0
10795,2022068426,45,F,0.0,1,1.0
10796,2022068426,71,M,2.0,2,1.0
10859,2022119140,49,M,0.0,1,1.0
10860,2022119140,33,M,2.0,2,1.0
10877,2022010403,26,M,0.0,1,1.0
10878,2022010403,4,M,3.0,1,2.0
10879,2022010403,24,M,2.0,2,1.0
10885,2022087561,57,F,2.0,1,1.0
10888,2022113081,29,F,8.0,1,1.0
10889,2022113081,17,M,8.0,2,2.0
10890,2022113081,18,M,1.0,2,2.0
10891,2022113081,16,M,8.0,2,2.0
10892,2022113081,16,M,8.0,2,2.0
10893,2022113081,16,M,8.0,2,2.0
10894,2022113081,17,M,8.0,2,2.0
10895,2022113081,16,M,8.0,2,2.0
10998,2022064180,18,F,0.0,1,1.0
10999,2022064180,17,M,0.0,1,2.0
11000,2022064180,62,M,2.0,2,1.0
11001,2022075003,28,M,2.0,1,1.0
11014,2022020255,21,M,2.0,1,1.0
11140,2022049383,1,U,9.0,1,1.0
11141,2022049383,25,F,2.0,1,2.0
11206,2022032228,23,F,2.0,1,1.0
11247,2022023871,33,M,2.0,1,1.0
11248,2022023871,37,M,2.0,1,2.0
11249,2022023871,28,M,3.0,2,1.0
11250,2022023871,30,M,3.0,2,2.0
11314,2022082593,40,M,2.0,1,1.0
11315,2022082593,49,M,0.0,2,1.0
11420,2022022382,17,M,2.0,1,1.0
11518,2022041983,40,M,0.0,1,1.0
11519,2022041983,18,F,2.0,2,7.0
