CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9749163,2,1,N,F,17,A,-,E,L,G,,-,3,-,-,"- ",,,-,-,0,1,A,2015,-,A,01,,W,,-,-,2024
9749163,3,1,N,M,31,-,-,E,L,G,Y,-,-,-,-,"- ",,,-,-,0,0,-,2010,-,A,01,,,,-,-,2024
9749163,4,1,N,F,63,-,-,E,M,G,Y,-,-,-,-,"- ",,,-,-,0,0,-,2013,FORD,A,07,,W,,-,-,2024
9749163,5,1,N,F,62,-,-,E,M,G,Y,-,-,-,-,"- ",,,-,-,0,0,-,2014,JEEP,A,07,,W,,-,-,2024
9751468,1,1,Y,M,24,B,-,E,L,H,Y,-,-,-,,25,22350,,A,-,0,1,B,2017,-,D,22,,W,,-,-,2024
9751468,2,1,N,M,55,A,-,E,L,H,Y,-,-,-,-,"- ",,,N,-,1,0,B,2010,-,A,01,,H,,-,-,2024
9751468,3,3,N,-,998,H,H,S,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2014,-,A,01,,,,-,-,2024
9751468,4,3,N,-,998,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2019,-,A,01,,,,-,-,2024
9786094,1,4,Y,M,38,A,-,-,-,-,,-,3,-,-,"- ",,,N,-,1,0,B,,-,L,04,,H,,-,-,2023
9786094,2,3,N,-,998,H,H,N,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,2016,-,D,22,,,,-,-,2023
9786234,1,4,Y,M,63,G,G,E,-,-,,-,3,-,-,"- ",,,N,-,1,0,B,,-,L,04,,W,,-,-,2024
9786234,2,1,N,M,47,A,-,E,M,B,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,-,D,22,,H,,-,-,2024
9786234,3,1,N,F,42,A,-,W,M,G,Y,-,3,-,-,"- ",,,L,-,0,0,B,2010,FORD,A,07,,W,,-,-,2024
9786373,1,1,Y,M,61,-,E,S,M,H,Y,-,3,-,-,"- ",,,N,-,2,0,B,2000,-,A,08,,W,,-,-,2024
9786373,2,1,N,M,39,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2021,-,F,26,,W,,-,-,2024
6292084,1,1,Y,M,20,G,G,N,M,G,N,-,3,-,-,"- ",,,H,-,0,0,B,2003,GMC,A,07,,H,,-,-,2014
6292084,2,2,N,M,43,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,1,0,-,,-,N,60,,H,,-,-,2014
6292268,1,1,Y,M,22,A,E,S,M,G,,-,3,-,,25,22350,,A,-,1,1,M,1990,MAZDA,A,01,,W,,-,-,2015
6292268,2,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2010,FORD,A,07,,,,-,-,2015
6292357,1,1,Y,M,27,B,E,W,L,G,Y,-,3,-,,25,22350,,A,-,1,1,B,2015,VOLKSWAGEN,A,01,,W,,-,-,2015
6293007,1,1,Y,M,21,A,-,W,P,W,,-,3,-,,25,22350,,A,N,1,0,B,2006,KAWASAKI,C,02,,H,,-,-,2016
6293007,2,1,N,F,67,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2008,GMC,A,07,,W,,-,-,2016
92008035,1,1,N,F,27,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,TOYT,A,01,,H,,-,-,2023
92008035,2,1,N,M,49,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,FRHT,G,25,31,H,,-,-,2023
92008035,3,1,Y,M,53,B,-,S,M,G,N,-,3,-,,31,22107,,A,-,0,1,R,2016,LNDR,A,07,,W,,-,-,2023
6330934,1,1,N,M,50,A,-,E,-,G,Y,-,3,-,,34,21950,A,A,N,0,0,B,2002,CHEVROLET,D,22,,W,,-,-,2014
6330934,2,2,N,F,68,A,-,N,-,-,O,-,3,-,,35,21950,B,A,N,1,0,-,,-,N,60,,A,,-,-,2014
92130854,1,1,Y,M,23,A,-,E,L,G,Y,-,3,-,-,"- ",,,I,-,0,1,B,2017,LEXS,A,01,,H,,-,-,2023
92130854,2,1,N,F,31,G,G,E,M,H,Y,-,3,-,-,"- ",,,I,-,1,0,A,2009,TOYT,A,01,,H,,-,-,2023
92188156,1,2,Y,M,17,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,O,,-,-,2023
92188156,2,1,N,F,24,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2013,FORD,A,07,,W,,-,-,2023
92191719,1,2,Y,F,22,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2023
92191719,2,1,N,M,58,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2013,CHEVY,A,01,,H,,-,-,2023
6446877,1,1,Y,M,30,B,-,S,L,G,Y,-,3,-,,25,22350,,A,-,0,1,B,2005,DODGE,A,01,,O,,-,-,2014
