crash_id,veh_num,age,sex,injury_severity,person_type
202301336075,1,30,F,3.0,1
202301336075,1,29,M,3.0,7
202301347431,1,99,U,0.0,1
202301347431,2,53,M,3.0,2
202301269537,1,99,F,3.0,1
202301269539,1,59,M,3.0,1
202301269548,1,36,M,2.0,1
202301269548,1,38,M,2.0,7
202301269548,1,6,M,3.0,7
202301269548,2,60,M,0.0,1
202301347615,2,45,F,3.0,2
202301347615,1,21,M,0.0,1
202301329720,1,64,M,3.0,1
202301329720,2,47,M,0.0,1
202301329759,1,70,M,3.0,1
202301329950,1,36,F,3.0,1
202301329950,2,35,M,3.0,1
202301329970,1,35,M,0.0,1
202301329970,2,18,M,3.0,3
202301014319,1,26,F,0.0,1
202301014319,1,0,M,0.0,7
202301014319,2,45,F,2.0,1
202301014319,3,43,M,2.0,1
202301014319,3,16,F,3.0,7
202301014319,4,29,F,0.0,1
202301016865,1,73,M,4.0,1
202301016865,2,57,M,0.0,1
202301016865,3,59,F,3.0,1
202301281949,1,18,F,0.0,1
202301281949,1,18,F,0.0,7
202301281949,2,30,F,3.0,1
202301343307,1,59,M,3.0,1
202301343307,2,65,F,0.0,1
202301343307,2,4,F,0.0,7
202301214723,1,28,F,3.0,7
202301214723,1,29,M,0.0,7
202301222846,1,52,M,4.0,1
202301222846,2,23,M,0.0,1
202301222846,3,25,F,0.0,1
202301222846,4,33,F,0.0,1
202301049988,1,30,M,0.0,1
202301049988,2,81,M,3.0,1
202301281910,1,17,M,0.0,1
202301281910,1,18,M,0.0,7
202301281910,1,15,M,3.0,7
202301333207,1,45,M,3.0,1
202301030978,1,99,U,0.0,1
202301030978,1,99,U,0.0,7
202301030978,1,14,M,3.0,7
202301030978,1,99,U,0.0,7
202301030978,2,33,M,0.0,1
202301214723,1,99,U,0.0,1
202301254182,1,42,F,2.0,1
202301254182,1,38,M,2.0,7
202301254182,2,56,M,0.0,1
202301254182,3,40,M,3.0,1
202301254182,3,39,F,2.0,7
202301049887,1,99,U,0.0,1
202301049887,2,51,M,3.0,1
202301336201,2,8,F,0.0,7
202301336201,2,66,F,1.0,7
202301350378,3,33,M,0.0,1
202301269414,1,20,M,3.0,1
202301057820,1,66,F,3.0,1
202301057820,2,43,M,3.0,1
202301057820,2,49,F,3.0,7
202301064462,1,27,M,4.0,1
202301064462,2,50,F,0.0,1
202301064462,3,15,M,0.0,1
202301064462,3,46,F,0.0,7
202301036312,2,69,F,3.0,7
202301057957,1,54,M,1.0,1
202301057957,2,22,F,3.0,1
202301079952,1,39,M,4.0,1
202301058003,1,25,M,1.0,1
202301058003,2,78,M,3.0,1
202301030921,1,32,M,0.0,1
202301030921,1,37,F,0.0,7
202301030921,2,47,M,3.0,1
202301030921,2,35,M,3.0,7
202301030921,2,23,F,0.0,7
202301254119,1,24,F,0.0,1
202301254119,1,20,F,0.0,7
202301254119,1,24,M,0.0,7
202301254119,2,50,M,0.0,1
202301254119,2,46,F,0.0,7
202301254119,3,24,F,3.0,1
202301254119,3,0,M,2.0,7
202301236272,1,23,F,3.0,1
202301236289,1,63,M,0.0,1
202301236289,1,99,F,3.0,7
202301236289,2,20,M,0.0,1
202301236294,1,22,F,3.0,1
202301236294,1,20,M,0.0,7
202301236294,1,99,M,1.0,7
202301236294,1,21,M,1.0,7
202301236294,1,99,F,0.0,7
202301336201,1,24,M,1.0,1
202301336201,2,39,F,2.0,1
202301336201,2,45,M,3.0,7
202301264591,1,80,F,4.0,1
202301057767,1,20,M,3.0,1
202301014445,1,91,M,3.0,1
202301045063,1,22,F,4.0,1
202301045063,1,26,M,1.0,7
202301045063,1,27,M,1.0,7
202301045063,1,27,F,1.0,7
202301045063,2,51,M,2.0,1
202301045063,3,38,F,0.0,1
202301038313,1,99,U,0.0,1
202301038313,2,58,M,0.0,1
202301038313,2,59,F,0.0,7
202301038313,3,31,M,3.0,1
202301038313,3,30,F,3.0,7
202301235961,1,62,M,0.0,1
202301235961,2,59,M,3.0,1
202301235980,1,34,F,0.0,1
202301235980,2,30,F,3.0,2
202301236008,1,99,U,3.0,1
202301236011,1,69,M,0.0,1
202301236011,2,61,M,3.0,1
202301236011,2,65,F,3.0,7
202301236120,1,26,M,2.0,1
202301236120,2,23,F,3.0,1
202301336148,1,23,F,1.0,1
202301336148,2,53,M,0.0,1
202301336148,2,11,F,1.0,7
202301336148,2,51,M,0.0,7
202301336148,2,51,F,1.0,7
202301336148,2,72,F,3.0,7
202301336148,3,21,M,0.0,1
202301336148,4,45,M,0.0,1
202301269296,1,88,F,0.0,1
202301269296,2,26,M,3.0,1
202301350378,1,32,M,3.0,1
202301350378,2,79,M,0.0,1
202301350378,2,70,F,3.0,7
202301254044,1,59,M,0.0,1
202301254044,2,80,F,3.0,1
202301254044,2,52,F,3.0,7
202301254057,1,40,M,3.0,1
202301016861,1,6,F,1.0,7
202301016861,1,13,F,1.0,7
202301215032,1,51,F,2.0,1
202301215032,2,31,M,3.0,1
202301215032,3,44,F,0.0,1
202301216334,1,20,M,4.0,1
202301293011,1,52,F,4.0,1
202301293011,2,36,F,2.0,1
202301293021,1,60,M,4.0,1
202301293021,1,55,F,4.0,7
202301293032,1,23,F,3.0,1
202301293032,1,28,F,3.0,7
202301293049,1,40,M,2.0,1
202301293049,2,83,F,4.0,1
202301293049,3,74,M,0.0,1
202301293053,1,61,F,0.0,1
202301293053,2,53,M,4.0,1
202301293058,1,36,M,4.0,2
202301293058,2,44,M,0.0,1
202301293060,1,70,M,0.0,1
202301293060,2,32,M,3.0,2
202301031121,1,69,F,0.0,1
202301031121,2,80,F,3.0,2
202301031129,1,26,F,0.0,1
202301031129,2,50,M,3.0,2
202301023334,1,39,M,3.0,1
202301023334,1,20,F,1.0,7
202301023334,1,34,M,0.0,7
202301023334,1,29,F,2.0,7
202301023334,2,55,F,1.0,1
202301282227,1,57,M,3.0,1
202301282227,2,27,M,0.0,1
202301282255,1,34,F,3.0,1
202301254028,1,63,M,3.0,1
202301225097,1,22,M,3.0,1
202301225097,1,38,M,2.0,7
202301225097,1,20,M,3.0,7
202301225097,1,4,M,2.0,7
202301225097,1,38,F,3.0,7
202301225097,1,7,F,4.0,7
202301225097,1,18,F,3.0,7
202301292949,1,62,M,3.0,1
202301292952,1,50,M,0.0,1
202301292952,2,55,M,4.0,1
202301292952,2,53,F,3.0,7
202301292958,1,30,M,3.0,1
