crash_id,veh_num,make,model,body_type
201901016362,3,2006 CHEV,HHR,Passenger
201901016442,1,1997 JEEP,WRG,SUV
201901015922,4,2018 FORD,F25,Pickup
201901015787,2,2011 (UNK),(UNK),Bus over 15 seats
201901015878,3,2012 JEEP,GCH,SUV
201901015996,2,2018 NISS,ALT,Passenger
201901015787,1,(UNK) CHEV,EQX,SUV
201901016286,4,2006 TOYT,SNA,Van/Mini-Van
201901015922,2,2016 KIA ,FRT,Passenger
201901015922,3,2013 FORD,F15,Pickup
201901015996,1,2008 DODG,CHA,Passenger
201901016996,2,1993 CHEV,CVC,Pickup
201901016028,2,2011 TOYT,SNA,Van/Mini-Van
201901017088,1,2010 FORD,FUS,Passenger
201901016155,1,2003 BUIC,CEN,Passenger
201901016170,1,2011 DODG,UNK,SUV
201901016490,3,2018 TOYT,COA,Passenger
201901016128,2,2011 CHEV,MAL,Passenger
201901016286,2,2007 VOLK,JET,Passenger
201901016170,2,2013 TOYT,FJC,SUV
201901015004,2,1994 HOND,CT7,Passenger
201901017231,1,2008 STRN,VUE,SUV
201901016286,3,2014 CADI,CTS,Passenger
201901017442,3,2018 SUBA,OUT,Passenger
201901015130,1,2003 FORD,XPL,Passenger
201901016331,2,2015 (UNK),(UNK),Passenger
201901016365,1,2004 CHEV,CAV,Passenger
201901016456,2,2016 HYUN,ACC,Passenger
201901016490,2,2002 FORD,TAU,Passenger
201901016362,2,2017 HOND,ACC,Passenger
201901016492,1,2008 CHEV,IMP,Passenger
201901017507,2,2006 MACK,(UNK),Tractor With Semi-Trailer
201901016339,1,2018 HYUN,(UNK),Passenger
201901016362,1,2009 CHEV,CBT,Passenger
201901015306,1,2007 NISS,ALT,Passenger
201901016821,2,1996 MACK,CH,Tractor With Semi-Trailer
201901016838,1,2018 JEEP,GCH,Passenger
201901015449,1,2007 CHEV,CBT,Passenger
201901016838,2,2009 BUIC,LUC,Passenger
201901016663,1,2002 ACUR,MDX,SUV
201901017976,2,2016 LEXS,E35,Passenger
201901015599,1,2004 DODG,NEO,Passenger
201901017030,1,2006 PONT,G6G,Passenger
201901016847,1,2001 NISS,ALT,Passenger
201901016847,2,(UNK) JEP ,(UNK),Passenger
201901016996,1,2003 CHEV,CC2,Pickup
201901018135,1,(UNK) CHEV,SCC,Other
201901016821,1,2009 HOND,ACC,Passenger
201901016835,1,(UNK) ACUR,TSX,Passenger
201901017001,2,2011 SUBA,OUT,SUV
201901017002,1,1998 FORD,(UNK),Pickup
201901017380,2,2013 HYUN,SON,Passenger
201901017442,1,2002 TOYT,RAV,SUV
201901015878,2,2016 (UNK),(UNK),Tractor Without Semi-Trailer
201901015922,1,2009 NAVI,(UNK),Bus 9 to 15 seats
201901017231,2,2007 LINC,MKL,Pickup
201901018727,1,1999 CHEV,BL2,Passenger
201901018125,1,2010 LEXS,R35,SUV
201901018135,2,2006 DODG,CVN,Van/Mini-Van
201901016286,1,2004 GMC ,ENV,SUV
201901016331,1,2019 LEXS,30,Passenger
201901016442,2,2017 HOND,ACC,Passenger
201901016490,1,1995 MACK,CH ,Tractor With Semi-Trailer
201901016490,4,2012 SUBA,FOR,SUV
201901016601,1,1998 INFI,I30,Passenger
201901019020,1,2016 MAZD,CX5,Passenger
201901016821,3,2015 HYUN,GEN,Passenger
