Crash Number,City Town Name,Crash Date,Crash Status,Crash Time,Number of Vehicles,Total Fatalities,County Name,Hit and Run,Vehicle Sequence of Events (All Vehicles),Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Vehicle Unit Number,Vehicle Make,Vehicle Model,Vehicle Model Year,Driver Violation Code,Person Number,Age,Ejected Description,Injury Type,Person Type,Sex
4132058,FALL RIVER,01/01/2016,Closed,12:47 AM,2.0,0.0,BRISTOL,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),41.70690505,-71.16615312,, Rte 195 W, UNKNOWN,1.0,GMC,,2002.0,,9.0,,Not ejected,Non-fatal injury - Incapacitating,Passenger,M - Male
4132058,FALL RIVER,01/01/2016,Closed,12:47 AM,2.0,0.0,BRISTOL,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),41.70690505,-71.16615312,, Rte 195 W, UNKNOWN,2.0,DODGE,,2005.0,,10.0,51.0,Not ejected,Non-fatal injury - Incapacitating,Driver,M - Male
4132101,HOLYOKE,01/07/2016,Closed,7:46 AM,1.0,0.0,HAMPDEN,No hit and run, V1:(Collision with pedestrian),42.20160111,-72.61936489,171, FRANKLIN ST,,1.0,SUBA,,2013.0,"(86 200),(89 11)",1.0,23.0,Not ejected,No injury,Driver,M - Male
4132101,HOLYOKE,01/07/2016,Closed,7:46 AM,1.0,0.0,HAMPDEN,No hit and run, V1:(Collision with pedestrian),42.20160111,-72.61936489,171, FRANKLIN ST,,,,,,,2.0,60.0,,Non-fatal injury - Incapacitating,Vulnerable User,M - Male
4132240,NORTON,01/09/2016,Closed,2:23 PM,2.0,0.0,BRISTOL,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),41.95537576,-71.21628207,240, WEST MAIN STREET,,1.0,GMC,,2002.0,,1.0,24.0,Not ejected,No injury,Driver,M - Male
4132240,NORTON,01/09/2016,Closed,2:23 PM,2.0,0.0,BRISTOL,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),41.95537576,-71.21628207,240, WEST MAIN STREET,,2.0,FORD,,2003.0,,2.0,25.0,Not ejected,Non-fatal injury - Incapacitating,Driver,F - Female
4132435,LEOMINSTER,01/08/2016,Closed,1:31 PM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.5463316,-71.76118637,, NORTH MAIN STREET Rte 12 S  / Rte 2 W  / RAMP-RT 2 WB TO RT 12 SB,,1.0,TOYT,,2014.0,,1.0,66.0,Not ejected,Non-fatal injury - Incapacitating,Driver,F - Female
4132435,LEOMINSTER,01/08/2016,Closed,1:31 PM,2.0,0.0,WORCESTER,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.5463316,-71.76118637,, NORTH MAIN STREET Rte 12 S  / Rte 2 W  / RAMP-RT 2 WB TO RT 12 SB,,2.0,FORD,,2005.0,,2.0,89.0,Not ejected,No injury,Driver,F - Female
4132444,SEEKONK,01/07/2016,Closed,6:49 AM,1.0,0.0,BRISTOL,No hit and run, V1:(Collision with pedestrian),41.85251999,-71.32916732,410, NEWMAN AVE Rte 152 S,,1.0,FORD,,1995.0,,1.0,70.0,Not ejected,No injury,Driver,M - Male
4132444,SEEKONK,01/07/2016,Closed,6:49 AM,1.0,0.0,BRISTOL,No hit and run, V1:(Collision with pedestrian),41.85251999,-71.32916732,410, NEWMAN AVE Rte 152 S,,,,,,,2.0,16.0,,Non-fatal injury - Incapacitating,Vulnerable User,F - Female
