id,vehicle_number,year,make,model,hit_run
20080113I-2008-13909,1,1985,BUICK,SEDAN, 
20080113I-2008-13909,2,1995,PLYMOUTH,NEON, 
20080113I-2008-17158,1,1997,NISSAN,4-DOOR, 
20080113I-2008-21239,1,2008,MERCEDES BENZ,4 DR, 
20080113I-2008-21239,2,2003,HYUNDAI,SAN, 
20080114I-2008-03505,1,2007,DODGE,CHA, 
2008011608-06951,1,2008,NISSAN,ROGUE, 
20080117I-2008-000412,1,1983,CHEVROLET,S-10, 
20080117I-2008-000412,2,2001,PLYMOUTH,NEON, 
20080117I-2008-002625,1,0   ,YAMAHA,, 
20080117I-2008-004070,1,1993,NISSAN,, 
20080117I-2008-004070,2,2007,SUZUKI,XL-, 
20080117I-2008-006599,1,2004,HARLEY DAVIDSON,FXS, 
20080117I-2008-012884,1,2004,TOYOTA,, 
200801182008/22452,1,2007,TOYOTA,SUV, 
200801182008/430,1,1998,HONDA,M/C, 
200801182008/430,2,2000,CADILLAC,SUV, 
200801192008-11929,1,1997,NISSAN,ALTIMA, 
200801192008-11929,2,1997,FORD,TAURUS, 
200801192008-14936,1,2000,GMC,BOX TRUCK, 
200801192008-14936,2,2007,TOYOTA,COROLLA, 
200801192008-23996,1,2004,MAZDA,6, 
2008012108-14142,1,2005,TOYOTA,RV4, 
2008012108-14142,2,2007,HONDA,CRV, 
2008012108-14142,3,2003,JEEP,WAG, 
200801212008-6251,1,2005,HONDA,MC, 
200801212008-6251,2,2004,HONDA,ODY, 
200801212008-6715,1,2001,FORD,ESCAPE, 
200801212008-6715,2,1995,VOLVO,850, 
200801212008-9919,1,2003,VOLVO,4 DR, 
20080122I-2008-05659,1,2005,ACURA,SDN, 
20080122I-2008-05659,2,1997,VOLVO,VFE, 
20080123A090-2008-00176A,1,1999,SATURN,SW1, 
20080123A090-2008-00176A,2,2006,HARLEY DAVIDSON,XLH883, 
2008020208-30,1,1971,ALFA ROMEO,4-DR, 
20080202AF0864,1,2000,SUBARU,FOR, 
20080202PI-08-2525,1,1989,CADILLAC,ELDORADO, 
20080202PI-08-2525,2,2005,HONDA,ODYSSEY, 
20080202PI-08-2525,3,2007,HONDA,FIT, 
2008020308-22051,1,2004,FORD,VAN, 
2008020308-24083,1,2005,CHEVROLET,CAVALIER, 
2008020308-24083,2,1999,NISSAN,SENTRA, 
2008020308-24083,3,1999,MAZDA,626, 
2008020408-10424,1,1996,FORD,WAGON, 
2008020508-000644,1,2003,CHEVROLET,TRAILBLAZER, 
2008020508-000644,2,1998,FORD,EXPLORER, 
2008020508-000644,3,2005,NISSAN,ALTIMA, 
2008020508-002443,1,2005,CHEVROLET,TRAILBLAZER, 
2008020508-002443,2,1999,SUBARU,FORESTER, 
2008020508-005832,1,1996,HONDA,CIVIC, 
2008020508-005832,2,2006,CHEVROLET,C5500, 
2008020508-007346,1,2006,MERCEDES BENZ,R350, 
2008020508-007346,2,2004,HONDA,ACCORD, 
2008020508-007626,1,1995,GMC,4500, 
2008020508-007626,2,1998,FORD,ECONOLINE, 
2008020508-007691,1,2002,CHEVROLET,TAHOE,Y
2008020508-007691,2,2007,CHEVROLET,TRAILBLAZER, 
2008020508-008575,1,1989,WHITE,WIA, 
2008020608-006997,1,1986,FORD,43, 
2008020608-006997,2,1997,CHEVROLET,PKUP, 
200802062008-398,1,2007,HONDA,ACCORD, 
200802062008-407,1,1996,TOYOTA,COROLLA, 
200802072008-007908,1,2004,CHEVROLET,TRACKER, 
200802072008-007912,1,1994,ISUZU,RODEO, 
200802072008-010307,1,1993,JEEP,CHEROKEE, 
200802072008-010307,2,1994,HONDA,ACCORD, 
200802072008-011772,1,0   ,,,Y
200802072008-015709,1,2006,HARLEY DAVIDSON,FLH, 
200802072008-015709,2,2003,LEXUS,300, 
200802112008-009039,1,2000,PONTIAC,GRAND, 
200802112008-009039,2,2008,LAND ROVER,WAGON, 
200802112008-009039,3,1998,MERCEDES BENZ,E300, 
200802112008-030249,1,2002,SUZUKI,GSXR100?, 
20080211E040200801799A,1,2002,NISSAN,S?, 
20080211E040200801799A,2,2007,TOYOTA,CAMRY, 
20080211E040200801799A,3,2002,CHRYSLER,VOYAGER, 
20080211E040200801799A,4,2006,FORD,E350, 
2008021208-06808,1,2004,TOYOTA,4 DR, 
2008021208-07976,1,1999,MERCEDES BENZ,2 D, 
2008021208-07976,2,2001,HONDA,WGN, 
2008021208-07976,3,2000,MAZDA,4 D, 
2008021208-07976,4,2007,TOYOTA,4 D, 
2008021208-07976,5,1998,TOYOTA,4 D, 
20080212D030200802013A,1,2004,FREIGHTLINER,TT, 
20080212D030200802013A,2,2008,TOYOTA,COROLLA, 
20080212D030200802013A,3,2001,CHEVROLET,ASTROVAN, 
20080212V240200800002P,1,0   ,HONDA,CIVIC, 
20080215R135-08,1,1998,FORD,ECON., 
20080215R136-08,1,2003,HYUNDAI,ELA, 
20080215R136-08,2,2006,MERCEDES BENZ,ML350, 
20080215R192-08,1,1993,TOYOTA,CAMRY, 
20080215R194-08,1,2003,TOYOTA,RAV 4, 
20080215R332-08,1,1999,TOYOTA,CAM, 
20080215R432-08,1,2005,HONDA,CBR, 
20080215R522-08,1,2005,LINCOLN,TOWNCAR, 
20080215R616-08,1,2006,BMW,330X1, 
20080215R749-08,1,1999,TOYOTA,SIENNA, 
20080215R802-08,1,2004,NISSAN,350-Z, 
20080215R802-08,2,2001,CHEVROLET,AST, 
20080215R802-08,3,2008,BMW,328XI, 
2008021708-11615,1,0   ,CHRYSLER,00,Y
2008021708-11701,1,2002,CADILLAC,ESCALADE, 
2008021708-11701,2,2002,DODGE,CARAVAN, 
2008021808-2236-AC,1,2005,HONDA,PILOT, 
2008021808-2236-AC,2,1993,FORD,TAURUS, 
2008021808-6218-AC,1,1992,TOYOTA,COROLLA, 
2008021808-6218-AC,2,2006,HUMMER,HU3, 
2008021808-7891-AC,1,2003,TOYOTA,RAV4, 
2008021808-7891-AC,2,1993,NISSAN,MAXIMA, 
200802192008:30011,1,0   ,,,Y
20080219I-2008-029916,1,2007,LEXUS,ES350, 
20080219I-2008-050655,1,2003,CHEVROLET,VAN, 
20080219I-2208-034123,1,2003,HONDA,ACCORD, 
2008022008-1359,1,2004,FORD,150, 
2008022008-6622,1,2001,FORD,F-150, 
2008022008-6792,1,2008,SUZUKI,XL7, 
20080220B060-2008-1640A,1,2002,ACURA,TL, 
20080220B060200801656A,1,1994,HONDA,ACCORD, 
200802222007-000057,1,2001,FORD,PKUP, 
200802222007-000057,2,1996,NISSAN,PATH, 
200802222007-000057,3,2005,JEEP,WAG, 
