id,vehicle_number,position,occupant_number,age,sex,condition
2012040912-062495,1,03,2,53,M,  
2012040912-062495,2,01,3,19,M,04
2012040912-062495,2,03,4,19,M,02
2012041312-049,1,04,1,30,M,02
20120413A-12-082,1,01,1,24,M,02
20120413A-12-082,2,01,2,,F,  
20120414120032181,1,01,1,38,F,02
20120414120032181,2,01,2,21,M,03
20120414120032181,2,02,3,31,M,  
20120414120032181,2,03,4,24,F,  
20120414120032181,2,04,5,26,M,  
20120414120032181,2,05,6,21,M,  
20120414120181300,1,00,1,25,M,  
20120414120181300,1,00,2,20,F,03
20120414120181300,1,01,3,27,M,02
20120414120181300,1,03,4,22,F,02
20120414120305133,1,01,1,20,M,  
20120414A310201200812A,1,01,1,24,F,02
2012041512-007392,1,01,1,40,F,  
2012041512-009168,1,01,1,19,F,  
2012041512-010232,1,01,1,24,M,02
2012041512-030119,1,01,1,29,M,  
2012041512-030883,1,01,1,19,M,  
2012041512-030883,1,03,2,15,M,  
2012041512-030883,2,01,3,39,M,02
2012041512-038297,1,01,1,36,M,  
2012041512-048781,1,01,1,23,M,02
2012041512-049760,1,01,1,21,M,  
2012041512-049771,1,01,1,17,M,  
2012041512-060467,1,01,1,23,F,02
20120415A310201200439A,1,01,1,35,M,02
2012041612-037-A,1,01,1,81,M,04
2012041612-037-A,1,03,2,78,F,02
2012041612-060-A,1,01,1,55,M,  
2012041612-150-A,1,01,1,32,M,02
2012041612-150-A,1,03,2,23,M,04
201204162012-096A,1,01,1,85,F,02
201204162012-096A,1,03,2,84,M,03
201204162012-096A,2,01,3,30,M,04
2012041720120226,1,01,1,77,F,02
2012041720120226,2,01,2,71,M,  
2012042212-001937,1,01,1,31,M,  
2012042212-002512,1,01,1,50,M,  
2012042212-006877,1,01,1,29,M,  
2012042212-006991,1,01,1,69,F,04
2012042212-006991,1,02,2,18,M,04
2012042212-006991,1,04,3,62,F,02
2012042212-006991,2,01,4,31,F,03
2012042212-007203,1,01,1,42,M,02
2012042212-007203,2,  ,2,, ,  
2012042212-009417,1,01,1,81,M,  
2012042212-009417,1,03,2,48,M,  
2012042312-0101-01,1,01,1,72,M,  
2012042312-0919-01,1,01,1,53,F,  
2012042312-0919-01,2,01,2,38,M,02
201204252012000060,1,01,1,38,M,02
201204252012000060,2,01,2,24,M,  
201204252012002354,1,00,1,, ,00
201204252012002586,1,01,1,55,F,04
201204252012002586,1,06,2,4,F,  
201204252012002586,2,01,3,23,F,02
2012042712-004668,1,01,1,29,F,  
